,date,grocery,sub_region_2
284517,3/18/20,18.0,Bradford County
284518,3/19/20,14.0,Bradford County
284519,3/20/20,15.0,Bradford County
284520,3/21/20,11.0,Bradford County
284521,3/22/20,6.0,Bradford County
284522,3/23/20,8.0,Bradford County
284523,3/24/20,1.0,Bradford County
284524,3/25/20,2.0,Bradford County
284525,3/26/20,-4.0,Bradford County
284526,3/27/20,-2.0,Bradford County
284527,3/28/20,1.0,Bradford County
284528,3/29/20,0.0,Bradford County
284529,3/30/20,1.0,Bradford County
284530,3/31/20,2.0,Bradford County
284531,4/1/20,23.0,Bradford County
284532,4/2/20,13.0,Bradford County
284533,4/3/20,10.0,Bradford County
284534,4/4/20,13.0,Bradford County
284535,4/5/20,-3.0,Bradford County
284537,4/7/20,0.0,Bradford County
284539,4/9/20,8.0,Bradford County
284540,4/10/20,9.0,Bradford County
284541,4/11/20,21.0,Bradford County
284542,4/12/20,-34.0,Bradford County
284543,4/13/20,1.0,Bradford County
284544,4/14/20,1.0,Bradford County
284545,4/15/20,0.0,Bradford County
284546,4/16/20,7.0,Bradford County
284547,4/17/20,2.0,Bradford County
284548,4/18/20,3.0,Bradford County
284549,4/19/20,7.0,Bradford County
284550,4/20/20,8.0,Bradford County
284551,4/21/20,11.0,Bradford County
284552,4/22/20,11.0,Bradford County
284553,4/23/20,8.0,Bradford County
284554,4/24/20,4.0,Bradford County
284555,4/25/20,4.0,Bradford County
284556,4/26/20,8.0,Bradford County
284557,4/27/20,13.0,Bradford County
284558,4/28/20,15.0,Bradford County
284559,4/29/20,14.0,Bradford County
284560,4/30/20,14.0,Bradford County
284561,5/1/20,20.0,Bradford County
284562,5/2/20,13.0,Bradford County
284564,5/4/20,15.0,Bradford County
284565,5/5/20,11.0,Bradford County
284566,5/6/20,18.0,Bradford County
284567,5/7/20,16.0,Bradford County
284568,5/8/20,18.0,Bradford County
284569,5/9/20,27.0,Bradford County
284571,5/11/20,17.0,Bradford County
284572,5/12/20,13.0,Bradford County
284573,5/13/20,17.0,Bradford County
284574,5/14/20,15.0,Bradford County
284575,5/15/20,8.0,Bradford County
284576,5/16/20,19.0,Bradford County
284577,5/17/20,26.0,Bradford County
284578,5/18/20,15.0,Bradford County
284579,5/19/20,12.0,Bradford County
284580,5/20/20,11.0,Bradford County
284581,5/21/20,15.0,Bradford County
284582,5/22/20,17.0,Bradford County
284583,5/23/20,16.0,Bradford County
284584,5/24/20,23.0,Bradford County
284585,5/25/20,9.0,Bradford County
284586,5/26/20,8.0,Bradford County
284587,5/27/20,14.0,Bradford County
284588,5/28/20,10.0,Bradford County
284589,5/29/20,13.0,Bradford County
284590,5/30/20,11.0,Bradford County
284591,5/31/20,20.0,Bradford County
284592,6/1/20,25.0,Bradford County
284593,6/2/20,18.0,Bradford County
284594,6/3/20,20.0,Bradford County
284595,6/4/20,14.0,Bradford County
284596,6/5/20,10.0,Bradford County
284597,6/6/20,6.0,Bradford County
284598,6/7/20,7.0,Bradford County
284599,6/8/20,15.0,Bradford County
284600,6/9/20,12.0,Bradford County
284601,6/10/20,17.0,Bradford County
284602,6/11/20,10.0,Bradford County
284603,6/12/20,13.0,Bradford County
284604,6/13/20,15.0,Bradford County
284605,6/14/20,17.0,Bradford County
284606,6/15/20,16.0,Bradford County
284607,6/16/20,13.0,Bradford County
284608,6/17/20,10.0,Bradford County
284609,6/18/20,16.0,Bradford County
284610,6/19/20,17.0,Bradford County
284611,6/20/20,18.0,Bradford County
284612,6/21/20,28.0,Bradford County
284613,6/22/20,13.0,Bradford County
284614,6/23/20,9.0,Bradford County
284615,6/24/20,14.0,Bradford County
284616,6/25/20,20.0,Bradford County
284617,6/26/20,11.0,Bradford County
284618,6/27/20,10.0,Bradford County
284619,6/28/20,26.0,Bradford County
284620,6/29/20,17.0,Bradford County
284621,6/30/20,11.0,Bradford County
284622,7/1/20,21.0,Bradford County
284623,7/2/20,27.0,Bradford County
284624,7/3/20,25.0,Bradford County
284625,2/15/20,0.0,Brevard County
284626,2/16/20,1.0,Brevard County
284627,2/17/20,1.0,Brevard County
284628,2/18/20,1.0,Brevard County
284629,2/19/20,0.0,Brevard County
284630,2/20/20,-1.0,Brevard County
284631,2/21/20,-5.0,Brevard County
284632,2/22/20,0.0,Brevard County
284633,2/23/20,1.0,Brevard County
284634,2/24/20,-1.0,Brevard County
284635,2/25/20,2.0,Brevard County
284636,2/26/20,1.0,Brevard County
284637,2/27/20,4.0,Brevard County
284638,2/28/20,4.0,Brevard County
284639,2/29/20,3.0,Brevard County
284640,3/1/20,6.0,Brevard County
284641,3/2/20,7.0,Brevard County
284642,3/3/20,9.0,Brevard County
284643,3/4/20,7.0,Brevard County
284644,3/5/20,4.0,Brevard County
284645,3/6/20,0.0,Brevard County
284646,3/7/20,1.0,Brevard County
284647,3/8/20,-2.0,Brevard County
284648,3/9/20,2.0,Brevard County
284649,3/10/20,3.0,Brevard County
284650,3/11/20,5.0,Brevard County
284651,3/12/20,12.0,Brevard County
284652,3/13/20,20.0,Brevard County
284653,3/14/20,18.0,Brevard County
284654,3/15/20,11.0,Brevard County
284655,3/16/20,13.0,Brevard County
284656,3/17/20,14.0,Brevard County
284657,3/18/20,10.0,Brevard County
284658,3/19/20,4.0,Brevard County
284659,3/20/20,2.0,Brevard County
284660,3/21/20,-3.0,Brevard County
284661,3/22/20,-12.0,Brevard County
